voltage_level,name,label_zh,active_power_mw,power_factor,circuits,base_apparent_mva,base_per_circuit_mva,base_per_circuit_current_a,per_circuit_design_mva,per_circuit_current_a,simultaneity_applied_to_circuit
35kV,wind_farm_A,风电场A,80.0,0.95,4,84.21052631578948,21.05263157894737,347.27835740729375,22.10526315789474,364.6422752776585,False
35kV,wind_farm_B,风电场B,60.0,0.95,3,63.15789473684211,21.05263157894737,347.27835740729375,22.10526315789474,364.6422752776585,False
35kV,pv_plant_A,光伏电站A,60.0,0.98,2,61.224489795918366,30.612244897959183,504.971080923871,32.142857142857146,530.2196349700645,False
35kV,pv_plant_B,光伏电站B,40.0,0.98,2,40.816326530612244,20.408163265306122,336.64738728258067,21.42857142857143,353.47975664670975,False
35kV,energy_storage,储能电站,30.0,0.95,1,31.578947368421055,31.578947368421055,520.9175361109407,33.15789473684211,546.9634129164876,False
10kV,station_service_backup,站用电备用电源,0.8,0.85,1,0.9411764705882354,0.9411764705882354,54.33884886490597,0.9882352941176472,57.05579130815127,False
10kV,reactive_compensation_and_cooling,无功补偿及冷却系统,0.6,0.85,1,0.7058823529411765,0.7058823529411765,40.75413664867948,0.7411764705882353,42.791843481113446,False
10kV,control_communications_and_monitoring,集控通信及监控系统,0.4,0.9,1,0.4444444444444445,0.4444444444444445,25.660011963983372,0.46666666666666673,26.943012562182542,False
